år,Fastighetsprisindex_för_fritidshus_(1981=100)
1975,52
1976,64
1977,76
1978,88
1979,97
1980,101
1981,100
1982,104
1983,107
1984,112
1985,117
1986,123
1987,139
1988,166
1989,191
1990,216
1991,253
1992,225
1993,205
1994,215
1995,215
1996,219
1997,228
1998,248
1999,268
2000,306
2001,335
2002,358
2003,383
2004,424
2005,470
2006,527
2007,588
2008,603
2009,633
2010,679
2011,677
2012,664
2013,682
2014,710
2015,785
2016,826
2017,902
2018,892
2019,923
2020,1014
2021,1186
2022,1198
comments,[]
infofile,BO0501
updated,2023-01-25T13:44:00Z
label,Fastighetsprisindex för fritidshus (1981=100) efter år och tabellinnehåll
source,SCB
url,http://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BO__BO0501__BO0501A/FastpiFritidRegAr